Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
0.511627906976744,0.6,0.5,0.46,0,0.5,67
0.418604651162791,0.1,0.666666666666667,0.18,0.25,0.666666666666667,61
0.534883720930233,0.95,0.5,0.82,0.25,0.666666666666667,74
0.651162790697674,0.725,0.666666666666667,0.96,0.125,0.666666666666667,71
0.418604651162791,0.8,0.333333333333333,0.3,0.375,0.666666666666667,70
0.418604651162791,0.7,0.666666666666667,0.78,0.375,0.5,71
0.651162790697674,0.6,0.5,0.36,0.125,0.333333333333333,67
0.558139534883721,0.45,0.333333333333333,0,0.125,0.333333333333333,66
0.372093023255814,0.85,0.333333333333333,0.6,0,0.166666666666667,69
0.511627906976744,0.95,0.666666666666667,0.42,0,0.833333333333333,72
0.372093023255814,0.5,0.666666666666667,0.76,0.5,0.666666666666667,68
0.372093023255814,0.925,0.333333333333333,0.74,0.25,0.333333333333333,71
0.465116279069767,0.575,0.666666666666667,0.94,0.25,0.666666666666667,70
0.186046511627907,0.55,0.666666666666667,0.44,0.25,0.5,66
0.209302325581395,0.45,0.666666666666667,0.48,0.125,0.666666666666667,65
0.372093023255814,0.2,0.666666666666667,0.4,0.25,0.666666666666667,64
0.302325581395349,0,1,0.3,0,0.5,60
0.488372093023256,0.25,0.333333333333333,0.64,0.125,0.5,65
0.325581395348837,0.5,0.833333333333333,0.82,0.375,0.333333333333333,67
0.255813953488372,0.375,0.5,0.16,0.375,0.666666666666667,66
0.651162790697674,0.45,0.166666666666667,0.98,0,0.166666666666667,69
0.418604651162791,0.975,0.333333333333333,0.68,0.125,0.5,72
0.441860465116279,0.35,0.666666666666667,0.78,0.125,0.333333333333333,66
0.232558139534884,0.45,0.666666666666667,1,0.125,0.5,66
0.372093023255814,0.125,0.166666666666667,0.5,0.25,0.5,63
0.465116279069767,0.05,0.333333333333333,0.08,0,0.5,64
0.27906976744186,0.775,0.333333333333333,0.8,0.125,0.333333333333333,65
0.488372093023256,0.575,0.333333333333333,0.88,0,0.333333333333333,71
0.348837209302326,0.75,0,0.16,0.125,0.5,66
0.395348837209302,0.15,0,0.02,0.25,0.333333333333333,64
0.348837209302326,0.575,0.333333333333333,0.14,0,0.666666666666667,63
0.697674418604651,0.25,0.5,0.32,0.125,0.5,69
0.441860465116279,0.225,0.666666666666667,0.92,0.25,0.5,67
0.302325581395349,0,0.166666666666667,0,0.25,0.5,61
0.558139534883721,0.125,0.166666666666667,0.8,0.25,0.5,68
0.27906976744186,0.3,0.333333333333333,0.86,0.125,0.5,61
0.465116279069767,0.125,0.5,0.82,0.25,0.5,64
0.162790697674419,0.975,0.833333333333333,0.08,0.25,0.833333333333333,67
0.255813953488372,0.3,0.666666666666667,0.68,0.125,0.833333333333333,63
0.465116279069767,0.125,0.333333333333333,0.96,0.125,0.666666666666667,64
0.534883720930233,0.2,0.666666666666667,0.12,0.375,0.166666666666667,67
0.465116279069767,0.6,0.333333333333333,0.04,0.125,0.333333333333333,65
0.418604651162791,0.075,0.5,0.88,0.125,0.5,64
0.395348837209302,0.85,0.5,0.64,0.375,0.333333333333333,70
0.232558139534884,0.95,0.833333333333333,0.64,0.125,0.5,68
0.348837209302326,0.25,0.666666666666667,0.96,0.25,0.5,65
0.372093023255814,0.45,0.333333333333333,0.76,0.125,0.5,68
0.581395348837209,0.025,0.333333333333333,0.4,0.25,0.5,64
0.488372093023256,0.65,0.5,0.44,0.375,0.333333333333333,68
0.186046511627907,0.425,0.166666666666667,0.14,0.25,0.5,63
0.488372093023256,0.275,0.5,0.3,0.125,0.666666666666667,64
0.395348837209302,0.2,0.5,0.44,0,0.5,64
0.348837209302326,0.65,0.666666666666667,0.26,0.25,0.666666666666667,67
0.534883720930233,0.425,0.666666666666667,0.92,0,0.5,67
0.581395348837209,0.175,0.5,0.02,0.25,0.666666666666667,66
0.581395348837209,0.7,0.166666666666667,0.58,0.125,0.666666666666667,72
0.325581395348837,0.575,0.166666666666667,0.78,0.125,0.333333333333333,65
0.395348837209302,0.85,0.333333333333333,0.74,0.125,0.666666666666667,71
0.488372093023256,0.125,0.666666666666667,0.64,0.25,0.166666666666667,66
0.581395348837209,0.775,0.666666666666667,0.42,0,0.5,68
0.372093023255814,0.675,0.5,0.92,0.125,0.833333333333333,70
0.418604651162791,0.125,1,0.32,0,0.5,62
0.27906976744186,0.7,0.833333333333333,0.76,0.25,0.666666666666667,68
0.27906976744186,0.45,0.833333333333333,0.92,0.25,0.5,67
0.558139534883721,0.95,0.666666666666667,0.12,0,0.5,71
0.627906976744186,0.15,0.666666666666667,0.94,0,0.333333333333333,68
0.441860465116279,0.65,0.666666666666667,0.78,0.125,0.5,69
0.581395348837209,0.375,0,0.62,0.375,0.333333333333333,70
0.488372093023256,0.95,0.166666666666667,0.38,0.125,0.666666666666667,69
0.348837209302326,0.325,0.5,0.9,0.125,0.666666666666667,65
0.488372093023256,0.95,0.5,0.04,0.375,0.5,70
0.651162790697674,0.9,0.5,0.44,0.125,0.5,71
0.441860465116279,0.275,0.5,0.76,0.125,0.666666666666667,65
0.651162790697674,0.8,0,0.82,0.25,0.166666666666667,72
0.0697674418604651,1,0.666666666666667,0.2,0,0.666666666666667,69
0.558139534883721,0.25,0.5,0.04,0.125,0.5,66
0.465116279069767,0.425,0.5,0.8,0.5,0.5,68
0.395348837209302,0.525,0.666666666666667,0.42,0,0.5,65
0.465116279069767,0.3,0.166666666666667,0.14,0.125,0.833333333333333,64
0.162790697674419,0.025,0.5,0.08,0.125,0.5,60
0.418604651162791,0.225,0.5,0.64,0.125,0.333333333333333,65
0.488372093023256,0.275,0.333333333333333,0.58,0.125,0.5,66
0.651162790697674,0.45,0,0.86,0.625,0.5,74
0.372093023255814,0.175,0.166666666666667,0.04,0.25,0.5,62
0.325581395348837,0.875,0.5,0.86,0.25,0.666666666666667,70
0.372093023255814,0.7,0.5,0.88,0,0.5,69
0.558139534883721,0.075,0.5,0.44,0.375,0.666666666666667,67
0.488372093023256,0.65,0.333333333333333,0.08,0.25,0,64
0.372093023255814,0.65,0.166666666666667,0.94,0.375,0.5,71
0.511627906976744,0.95,0.5,0.08,0,0.5,68
0.465116279069767,0,0.5,0.6,0,0.666666666666667,64
0.581395348837209,0.25,0.666666666666667,0.5,0.125,0.666666666666667,63
0.348837209302326,0.925,0.333333333333333,0.84,0,0.666666666666667,71
0.395348837209302,0.925,0,0.5,0,0.5,69
0.395348837209302,0.725,0,0.46,0.375,0.333333333333333,100
0.232558139534884,0.775,0.333333333333333,0.88,0.375,0.5,68
0.488372093023256,0.1,0.5,0.96,0.125,0.5,62
0.488372093023256,0.525,0.5,0.54,0.25,0.5,68
0.441860465116279,0.225,0.333333333333333,0.46,0.25,0.5,66
0.418604651162791,0.175,0.166666666666667,0.84,0,0.5,64
0.255813953488372,0.8,0,0.84,0.25,0.5,67
0.372093023255814,0.125,0.666666666666667,0.32,0.125,0.666666666666667,65
0.395348837209302,0.475,0.5,0.58,0,0.5,65
0.325581395348837,0.95,0.333333333333333,0.16,0,0.5,69
0.418604651162791,0.175,0.166666666666667,0.64,0.125,0.5,63
0.488372093023256,0.975,0.333333333333333,0.84,0.375,0.666666666666667,72
